"_id","subject","age","gender","handedness","__v"
"653da6341db7fb0e0999bf70","a","a","a","a",0
"653ec39473c8fb64e5d06c32","a","a","a","a",0
"653ec57697fb8f35bef75c80","Tyler","20","m","r",0
"653ec7ec97fb8f35bef75c82","b","a","a","a",0
"6542c02e97fb8f35bef75c92","a","a","a","a",0
"6542c1db6d437fbda237a320","Tyler","20","m","r",0
"65453f6fa1e80db68500ca00","61612","20","m","r",0
"65454480a1e80db68500ca6c","a","a","a","a",0
"6556b0643397d0df1da39a5a","hgahga","21","h","l",0
"6556b0a03397d0df1da39ace","hga","6","f","gh",0
"6556b0c63397d0df1da39b5a","1","1","1","1",0
"6560dd6c25a392fc4cebc3bb","a","a","a","a",0
"6560de1125a392fc4cebc3d3","goop","a","1","1",0
"656a3935e137a864179a7107","Tyler","21","M","R",0
"656a3ae8e137a864179a712f","a","a","a","a",0
"656a3d80e137a864179a717d","a","a","a","a",0
"65771ee2726891bf3b83b646","261118000","61","t","l",0
"657720785f9d0aa348c1fdf7","61616","ga","g","g",0
"657721015f9d0aa348c1fdfb","765","5","k","r",0
"657722415c0a7a7fd3a55e1f","666","a","a","a",0
"657722943f415c319eba40c8","818","1","h","a",0
"657722983f415c319eba40ca","818","1","h","a",0
"657722e23f415c319eba40cc","ahahaha","a","a","a",0
"657723583f415c319eba40ce","hgahga","65","1","2",0
"657723f23f415c319eba4116","761761","111","1","1",0
"657724b3fd5a0767a1747b2e","fssfg","423","figs","r",0
"6577257aa2f9b79c56ac4f64","761761","hga","1","1",0
"65772664a2f9b79c56ac4fa0","jaja","871","12","1",0
"65774081a2f9b79c56ac4fc0","11111","61","m","a",0
"6577414ea2f9b79c56ac4fea","111","1","1","1",0
"65774326a2f9b79c56ac501a","123","1","1","1",0
"65774424a2f9b79c56ac501e","Tyler","1","2","2",0
"6577455aa2f9b79c56ac5020","Tyler","1","2","3",0
"657748cba2f9b79c56ac5022","6161","1","1","1",0
"6579e624e9944c0f4a5c270a","561","1","1","1",0
"6579e671e9944c0f4a5c2716","123","1","1","1",0
"6579e6eba5e55a03866427fe","0101","1","1","1",0
"6579e74ba5e55a0386642810","4","4","4","4",0
"6579e7cffeb66baa3c59b322","12345","1","1","1",0
"6579e8228be35d02abbfa1cd","090909","1","1","1",0
"6579e93f8be35d02abbfa1fd","r","r","r","r",0
"6579e9f38be35d02abbfa211","12123","11","1","1",0
"6579ea541322f4d7fa0b2971","76761","1651","1651","165",0
"6579eb011322f4d7fa0b299f","rr","r","r","r",0
"6579eb501322f4d7fa0b29b7","r","r","r","r",0
"6579eb521322f4d7fa0b29b9","r","r","r","r",0
"6579eb911322f4d7fa0b29bb","r","r","r","r",0
"6579eb921322f4d7fa0b29bd","r","r","r","r",0
"6579ebfd1322f4d7fa0b29bf","hi","h","h","h",0
"6579ecc5e33a459d0f7a3240","0976","61","11","1",0
"6579ed32e33a459d0f7a3242","1761","1","1","1",0
"6579ed94e33a459d0f7a3244","81818","11","1","1",0
"6579ee0ae33a459d0f7a3260","123","1","1","1",0
"6579ee68e33a459d0f7a3284","666","1","1","1",0
"6579ef048e70d0f530faaf96","55","1","1","1",0
"6579f6db58c1928d749814bf","123","12","m","r",0
"6579f6dcb97287ae2e75d756","Tyler","12","1","1",0
"6579f85ab97287ae2e75d794","7617","t","ty","t",0
"65a19a721e343c4e21eaf11f","t6yler","1","2","3",0
"65abe89642f109850541ef09","a","aA","a","a",0
"65abee2a7579894600635e0c","a","a","a","a",0
"65ad37ef7579894600635e0e","q","q","q","q",0
"65ad8ae3dbb4b833d7541ab3","f","f","f","f",0
"65ad8eb6dbb4b833d7541b61","d","d","d","d",0
"65ad90a812f1fff6d6697cee","t","t","t","t",0
"65ad92b618794f8bd3543255","g","g","g","g",0
"65ad943e18794f8bd3543265","w","w","w","w",0
"65ad95741b1b29e0f8303388","g","g","gg","g",0
"65ad97b21b1b29e0f8303394","hg","hg","hg","hg",0
"65ada6084d1d58e99c2131e8","23131","20","f","r",0
"65ada81f4d1d58e99c213236","23131","19","f","r",0